gene	group_number	group_description
WNT7A	38	Limb hypoplasia—reduction defects group
RECQL4	38	Limb hypoplasia—reduction defects group
ANAPC1	38	Limb hypoplasia—reduction defects group
DNA2	38	Limb hypoplasia—reduction defects group
ARHGAP31	38	Limb hypoplasia—reduction defects group
DOCK6	38	Limb hypoplasia—reduction defects group
RBPJ	38	Limb hypoplasia—reduction defects group
DLL4	38	Limb hypoplasia—reduction defects group
EOGT	38	Limb hypoplasia—reduction defects group
NOTCH1	38	Limb hypoplasia—reduction defects group
TOP2B	38	Limb hypoplasia—reduction defects group
TP63	39	Split hand/foot with and without other manifestations
CDH3	39	Split hand/foot with and without other manifestations
DLX5	39	Split hand/foot with and without other manifestations
DLX6	39	Split hand/foot with and without other manifestations
10q24	39	Split hand/foot with and without other manifestations
WNT10B	39	Split hand/foot with and without other manifestations
ZAK	39	Split hand/foot with and without other manifestations
BHLHA9	39	Split hand/foot with and without other manifestations
FGFR1	39	Split hand/foot with and without other manifestations
EPS15L1	39	Split hand/foot with and without other manifestations
UBA2	39	Split hand/foot with and without other manifestations
PORCN	39	Split hand/foot with and without other manifestations
SHH	40	Polydactyly‐Syndactyly‐Triphalangism group
GLI1	40	Polydactyly‐Syndactyly‐Triphalangism group
GLI3	40	Polydactyly‐Syndactyly‐Triphalangism group
SMO	40	Polydactyly‐Syndactyly‐Triphalangism group
GLI2	40	Polydactyly‐Syndactyly‐Triphalangism group
FBLN1	40	Polydactyly‐Syndactyly‐Triphalangism group
HOXD13	40	Polydactyly‐Syndactyly‐Triphalangism group
KIAA0825	40	Polydactyly‐Syndactyly‐Triphalangism group
SALL1	40	Polydactyly‐Syndactyly‐Triphalangism group
FGFR2	40	Polydactyly‐Syndactyly‐Triphalangism group
FGFR3	40	Polydactyly‐Syndactyly‐Triphalangism group
FGF10	40	Polydactyly‐Syndactyly‐Triphalangism group
KIF7	40	Polydactyly‐Syndactyly‐Triphalangism group
WNT6	40	Polydactyly‐Syndactyly‐Triphalangism group
LRP4	40	Polydactyly‐Syndactyly‐Triphalangism group
GREM1	40	Polydactyly‐Syndactyly‐Triphalangism group
FMN1	40	Polydactyly‐Syndactyly‐Triphalangism group
BHLHA9	40	Polydactyly‐Syndactyly‐Triphalangism group
FAM58A	40	Polydactyly‐Syndactyly‐Triphalangism group
GJA1	40	Polydactyly‐Syndactyly‐Triphalangism group
SHH	40	Polydactyly‐Syndactyly‐Triphalangism group
HOXD13	40	Polydactyly‐Syndactyly‐Triphalangism group
IHH	40	Polydactyly‐Syndactyly‐Triphalangism group
FGF16	40	Polydactyly‐Syndactyly‐Triphalangism group
CKAP2L	40	Polydactyly‐Syndactyly‐Triphalangism group
MAPKAPK5	40	Polydactyly‐Syndactyly‐Triphalangism group
NOG	41	Defects in joint formation and synostoses
GDF5	41	Defects in joint formation and synostoses
FGF9	41	Defects in joint formation and synostoses
GDF6	41	Defects in joint formation and synostoses
PITX1	41	Defects in joint formation and synostoses
GSC	41	Defects in joint formation and synostoses
HOXA11	41	Defects in joint formation and synostoses
MECOM	41	Defects in joint formation and synostoses
